Product Code,Product Name,Short Description ,List Price
SFN-LC-30,SpeedFusion Bonding Key,Enable up to 30 SpeedFusion Bonding peers,$999.00
<310X Licenses & Warranties (click the + to open),,,
BPL-580X,Balance 580X,Mid-sized Business Router,"$4,999.00"
SFN-LC-100,100 SF Bonding Keys,≤ 100 SpeedFusion Bonding peers for Balance 380/580,$999.00
ECP-BPL-580X-1Y,1-Year EssentialCare+,"For Balance 580X - includes IC2, 24/7 email ticket support, and AHR","$1,250.00"
ECP-BPL-580X-2Y,2-Year EssentialCare+,"For Balance 580X - includes IC2, 24/7 email ticket support, and AHR","$2,125.00"
ECP-BPL-580X-4Y,4-Year EssentialCare+,"For Balance 580X - includes IC2, 24/7 email ticket support, and AHR","$3,500.00"
SVL-BPL-580X-1Y,1-Year EssentialCare ,For Balance 580X - includes IC2 subscription,$849.00
SVL-BPL-580X-2Y,2-Year EssentialCare ,For Balance 580X - includes IC2 subscription,"$1,649.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<Balance 380X Licenses & Warranties (click the + to open),,,
"X Series Modules for BPL-021X, BPL-380X, BPL-580X",,,
EXM-MINI-1LTEA-R,1 CAT 12 FirstNet Modem (FirstNet Certified),Expansion Module with 1x CAT 12 modem For Americas/EMEA (FirstNet Cert.),$399.00
EXM-MINI-1LTEA-K,1 CAT 12 Global Modem,Expansion Module with 1x CAT 12 modem For Global,$399.00
EXM-MINI-1GLTE-G,1 CAT 18 Modem,Expansion Module with 1x CAT 18 modem For Americas/EMEA,$499.00
EXM-MINI-1VDSL,1 VDSL Module,Expansion Module with 1 x VDSL,$199.00
EXM-MINI-15GH,1 5G Modem (FirstNet Certified),FlexModule Mini 5G (FirstNet Certified),$699.00
EXM-MINI-LORA,1 LoRaWAN Modem (for Balance 20X),FlexModule Mini LoRaWAN (Compatible with Balance 20X),$349.00
SVL-517,1-Year EssentialCare,For FlexModule Mini (non 5G version) - includes IC2 subscription,$89.00
SVL-536,2-Year EssentialCare,For FlexModule Mini (non 5G version) - includes IC2 subscription,$169.00
SVL-EXM-MINI-5G-1Y,1-Year EssentialCare,For FlexModule Mini 5G - includes IC2 subscription,$119.00
SVL-EXM-MINI-5G-2Y,2-Year EssentialCare,For FlexModule Mini 5G - includes IC2 subscription,$229.00
ECP-C-1Y,1-Year EssentialCare+,"For FlexModule Mini (non 5G version) -  includes IC2, 24/7 email support, AHR",$129.00
ECP-C-2Y,2-Year EssentialCare+,"For FlexModule Mini (non 5G version) -  includes IC2, 24/7 email support, AHR",$220.00
ECP-C-4Y,4-Year EssentialCare+,"For FlexModule Mini (non 5G version) -  includes IC2, 24/7 email support, AHR",$362.00
ECP-D-1Y,1-Year EssentialCare+,"For FlexModule Mini 5G -  includes IC2, 24/7 email ticket support, and AHR",$199.00
ECP-D-2Y,2-Year EssentialCare+,"For FlexModule Mini 5G -  includes IC2, 24/7 email ticket support, and AHR",$339.00
ECP-D-4Y,4-Year EssentialCare+,"For FlexModule Mini 5G -  includes IC2, 24/7 email ticket support, and AHR",$558.00
<EXM Licenses & Warranties (click the + to open),,,
Peplink MAX BR Cellular Routers,,,
MAX-BR1-MINI-LTE-US-T-PRM,MAX BR1 Mini LTE (FirstNet Certified),Single Cellular Cat 4 Router - PrimeCare (FirstNet Certified),$349.00
MAX-BR1-MINI-LTE-US-T-M-PRM,MAX BR1 Mini Core (No WiFi/GPS),"Single Cellular Cat 4 -  No WiFi, No GPS",$299.00
MAX-BR1-MINI-LTEA-US-T-PRM,MAX BR1 Mini LTEA (FirstNet Certified),Single Cellular Cat 7 Router - PrimeCare (FirstNet Certified),$399.00
MAX-BR1-MINI-LTEA-US-DC-T-PRM,MAX BR1 Mini LTEA (DC Power),Single Cellular Cat 7 Router - PrimeCare (FirstNet Certified),$399.00
MAX-BR1-MINI-M2M-LTE-US-T-PRM,MAX BR1 Mini M2M,Single Cellular Cat 4 - 9-pin serial connector / WiFi / GPS,$399.00
MAX-BR1-MINI-5GN-T-M-PRM,MAX BR1 Mini 5G (No WiFi/GPS),"Single Cellular 5G Mobile Router - No WiFi, No GPS",$499.00
MAX-BR1-MINI-5GN-T-PRM,MAX BR1 Mini 5G with WiFi (No GPS),Single Cellular 5G Mobile Router / WiFi / No GPS,$549.00
MAX-BR1-MINI-LTE-MX-T-PRM,MAX BR1 Mini LTE (Latin America),Single Cellular Cat 4 Router - PrimeCare (Latin America),$349.00
MAX-BR2-MICRO-LTE-US-PRM,MAX BR2 Micro LTE,2x Embedded 2x CAT-4 LTE Modems,$599.00
PRM-A-1Y,1-Year PrimeCare,For MAX BR1 Mini HW3 and BR1 Mini 5G - includes IC2 subscription,$49.00
PRM-A-2Y,2-Year PrimeCare,For MAX BR1 Mini HW3 and BR1 Mini 5G - includes IC2 subscription,$98.00
PRM-A-4Y,4-Year PrimeCare,For MAX BR1 Mini HW3 and BR1 Mini 5G - includes IC2 subscription,$196.00
PCP-A-1Y,1-Year PrimeCare+,"For MAX BR1 Mini HW3 and BR1 Mini 5G - includes IC2, 24/7 email ticket support, AHR",$59.00
PCP-A-2Y,2-Year PrimeCare+,"For MAX BR1 Mini HW3 and BR1 Mini 5G - includes IC2, 24/7 email ticket support, AHR",$100.00
PCP-A-4Y,4-Year PrimeCare+,"For MAX BR1 Mini HW3 and BR1 Mini 5G - includes IC2, 24/7 email ticket support, AHR",$165.00
MAX-BR1-MINI-LC-FP,Feature Pack for BR1 Mini,"Wan Activation, Wifi Wan, Hot Failover WNA, GPIO",$99.00
MAX-BR1-MINI-BD-FP-2Y,Bundle Offer,Upfront add-on (Includes 2 Years of Primecare and MAX-BR1-MINI-FP),$98.00
MAX-BR1-MINI-BD-FP-4Y,Bundle Offer,Upfront add-on (Includes 4 Years of Primecare and MAX-BR1-MINI-FP),$150.00
MAX-BR1-MINI-BD-FP-PLUS-2Y,Bundle Offer,Upfront add-on (Includes 2 Years of Primecare Plus and MAX-BR1-MINI-FP),$118.00
MAX-BR1-MINI-BD-FP-PLUS-4Y,Bundle Offer,Upfront add-on (Includes 4 Years of Primecare Plus and MAX-BR1-MINI-FP),$190.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,Virtual WAN Activation License,Activate Virtual WAN for Selected Models. ,$200.00
<BR1 Mini Licenses & Warranties (click the + to open),,,
MAX-BR1-PRO-GLTE-S-T-PRM,MAX BR1 Pro LTEA,Single Cellular Cat 20 Mobile Router,$699.00
MAX-BR2-LTE-US-T-PRM,MAX BR2 LTE,2x Embedded CAT 4 LTE Modems,$599.00
MAX-BR2-LTEA-US-T-PRM,MAX BR2 LTEA,2x Embedded CAT-7 LTEA Modems – North America,$699.00
MAX-BR1-PRO-5GN-T-PRM,MAX BR1 Pro 5G (FirstNet Certified),Single Cellular 5G Mobile Router – North America,$999.00
MAX-BR1-PRO-5GK-T-PRM,MAX BR1 Pro 5G (FirstNet Certified),Single Cellular 5G Mobile Router – North America (POE input capability),$999.00
MAX-BR2-PRO-5GK-T-PRM,MAX BR2 Pro 5G (FirstNet Certified),2x Embedded 5G Modems – North America (FirstNet Certified),"$2,899.00"
PRM-B-1Y,1-Year PrimeCare,For MAX BR1 PRO CAT 20 and BR2 LTE - includes IC2 subscription,$99.00
PRM-B-2Y,2-Year PrimeCare,For MAX BR1 PRO CAT 20 and BR2 LTE - includes IC2 subscription,$198.00
PRM-B-4Y,4-Year PrimeCare,For MAX BR1 PRO CAT 20 and BR2 LTE - includes IC2 subscription,$396.00
PCP-B-1Y,1-Year PrimeCare+,"For MAX BR1 PRO CAT 20 and BR2 LTE -  includes IC2, 24/7 email ticket support, and AHR",$119.00
PCP-B-2Y,2-Year PrimeCare+,"For MAX BR1 PRO CAT 20 and BR2 LTE - includes IC2, 24/7 email ticket support, and AHR",$202.00
PCP-B-4Y,4-Year PrimeCare+,"For MAX BR1 PRO CAT 20 and BR2 LTE -  includes IC2, 24/7 email ticket support, and AHR",$333.00
PRM-C-1Y,1-Year PrimeCare,For MAX BR1 Pro 5G - includes IC2 subscription,$149.00
PRM-C-2Y,2-Year PrimeCare,For MAX BR1 Pro 5G - includes IC2 subscription,$298.00
PRM-C-4Y,4-Year PrimeCare,For MAX BR1 Pro 5G - includes IC2 subscription,$596.00
PCP-C-1Y,1-Year PrimeCare+,"For MAX BR1 Pro 5G - includes IC2, 24/7 email ticket support, and AHR",$179.00
PCP-C-2Y,2-Year PrimeCare+,"For MAX BR1 Pro 5G - includes IC2, 24/7 email ticket support, and AHR",$304.00
PCP-C-4Y,4-Year PrimeCare+,"For MAX BR1 Pro 5G - includes IC2, 24/7 email ticket support, and AHR",$501.00
PRM-E-1Y,1-Year PrimeCare,For MAX BR2 Pro 5G - includes IC2 subscription,$249.00 
PRM-E-2Y,2-Year PrimeCare,For MAX BR2 Pro 5G - includes IC2 subscription,$498.00 
PRM-E-4Y,4-Year PrimeCare,For MAX BR2 Pro 5G - includes IC2 subscription,$996.00 
PCP-E-1Y,1-Year PrimeCare+,"For MAX BR2 Pro 5G - includes IC2, 24/7 email ticket support, and AHR",$299.00 
PCP-E-2Y,2-Year PrimeCare+,"For MAX BR2 Pro 5G - includes IC2, 24/7 email ticket support, and AHR",$508.00 
PCP-E-4Y,4-Year PrimeCare+,"For MAX BR2 Pro 5G - includes IC2, 24/7 email ticket support, and AHR",$837.00 
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,Virtual WAN Activation License,Activate Virtual WAN for Selected Models. ,$200.00
LIC-2VWAN,Virtual WAN Activation License,Activate 2x Virtual WAN for Selected Models. ,$400.00
LIC-3VWAN,Virtual WAN Activation License,Activate 3x Virtual WAN for Selected Models. ,$600.00
<BR Pro Licenses & Warranties (click the + to open),,,
Peplink Transit Series Cellular Routers,,,
MAX-TST-PRO-DUO-LTEA-Q-T-PRM,MAX Transit Duo Pro (FirstNet Certified),For the Americas / EMEA - PrimeCare (FirstNet Certified),"$1,199.00"
PRM-D-1Y,1-Year PrimeCare,For MAX Transit Duo Line - includes IC2 subscription,$199.00
PRM-D-2Y,2-Year PrimeCare,For MAX Transit Duo Line - includes IC2 subscription,$398.00
PRM-D-4Y,4-Year PrimeCare,For MAX Transit Duo Line - includes IC2 subscription,$796.00
PCP-D-1Y,1-Year PrimeCare+,"For MAX Transit Duo Line - includes IC2, 24/7 email ticket support, and AHR",$239.00
PCP-D-2Y,2-Year PrimeCare+,"For MAX Transit Duo Line - includes IC2, 24/7 email ticket support, and AHR",$406.00
PCP-D-4Y,4-Year PrimeCare+,"For MAX Transit Duo Line - includes IC2, 24/7 email ticket support, and AHR",$669.00
MAX-TST-PRO-DUO-BD-SP-2Y,2-Year Bundle Offer,2.5TB SFC Protect / 30GB SFC 5G/LTE data / 2 Years of Prime Care,$398.00
MAX-TST-PRO-DUO-BD-SP-4Y,4-Year Bundle Offer,2.5TB SFC Protect / 30GB SFC 5G/LTE data / 4 Years of Prime Care,$696.00
SFC-CN-SP,SpeedFusion Connect Pack,2.5TB SFC Protect / 30GB SFC 5G/LTE data / Valid 365 days,$199.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<Peplink Transit Duo Licenses & Warranties (click the + to open),,,
Peplink MAX HD Multi-Cellular Routers,,,
MAX-HD2-MINI-LTE-MX-T,MAX HD2 Mini LTEA Latin America,"For Latin America - 2x Embedded 4G LTE Modem, 4x WAN, 1x USB, 1x Ethernet","$2,299.00"
SVL-761,1-Year EssentialCare,For MAX HD2 Mini LTE - includes IC2 subscription,$399.00
SVL-643,2-Year EssentialCare,For MAX HD2 Mini LTE - includes IC2 subscription,$759.00
ECP-MAX-HD2-MINI-LTE-1Y,1-Year EssentialCare+,"For MAX HD2 Mini LTE - includes IC2, 24/7 email ticket support, and AHR",$579.00
ECP-MAX-HD2-MINI-LTE-2Y,2-Year EssentialCare+,"For MAX HD2 Mini LTE - includes IC2, 24/7 email ticket support, and AHR",$984.00
ECP-MAX-HD2-MINI-LTE-4Y,4-Year EssentialCare+,"For MAX HD2 Mini LTE - includes IC2, 24/7 email ticket support, and AHR","$1,621.00"
ICS-B04-1Y,1-Year InControl 2 Subscription,For MAX HD2 Mini LTE,$269.00
AP-LC-50,50 AP Support License Key ,For MAX HD2 Mini LTE,$199.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,1x Virtual WAN Activation License,For MAX HD2 Mini LTE,$200.00
LIC-2VWAN,2x Virtual WAN Activation License,For MAX HD2 Mini LTE,$400.00
LIC-3VWAN,3x Virtual WAN Activation License,For MAX HD2 Mini LTE,$600.00
<Peplink HD2 Mini LTE Licenses & Warranties (click the + to open),,,
MAX-HD2-MINI-LTEA-W-T,MAX HD2 Mini LTEA ,For the Americas / EMEA,"$2,699.00"
ECP-MAX-HD2-MINI-LTEA-1Y,1-Year EssentialCare+,"For MAX HD2 Mini LTEA - includes IC2, 24/7 email ticket support, and AHR",$679.00
ECP-MAX-HD2-MINI-LTEA-2Y,2-Year EssentialCare+,"For MAX HD2 Mini LTEA - includes IC2, 24/7 email ticket support, and AHR","$1,154.00"
ECP-MAX-HD2-MINI-LTEA-4Y,4-Year EssentialCare+,"For MAX HD2 Mini LTEA - includes IC2, 24/7 email ticket support, and AHR","$1,901.00"
SVL-431,1-Year EssentialCare,For MAX HD2 Mini LTEA - includes IC2 subscription,$459.00
SVL-531,2-Year EssentialCare,For MAX HD2 Mini LTEA - includes IC2 subscription,$899.00
MAX-HD-020-SPF,20 Peer SF License,Up to 20 SpeedFusion Peers,$999.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<Peplink HD2 Mini LTEA Licenses & Warranties (click the + to open),,,
Peplink MAX HD MBX Multi-Cellular Routers,,,
MAX-HD2-MBX-LTEA-R-T ,MAX HD2 MBX CAT 12,2 CAT 12 Modems / 5G Upgradable ,"$5,999.00 "
MAX-HD2-MBX-GLTE-G-T,MAX HD2 MBX CAT 18,2 CAT 18 Modems / 5G Upgradable ,"$6,999.00"
MAX-HD2-MBX-5GH-T,MAX HD2 MBX 5G,2x Embedded 5G Modem (Global),"$9,999.00"
SVL-MAX-HD2-MBX-LTEA-RK-1Y,1-Year EssentialCare,for MAX HD2 MBX LTEA (CAT-12) - includes IC2 subscription,"$1,019.00"
SVL-MAX-HD2-MBX-LTEA-RK-2Y,2-Year EssentialCare,for MAX HD2 MBX LTEA (CAT-12) - includes IC2 subscription,"$1,979.00"
ECP-MAX-HD2-MBX-LTEA-RK-1Y,1-Year EssentialCare+,"for MAX HD2 MBX LTEA (CAT-12) - includes IC2, 24/7 email support, and AHR","$1,499.00"
ECP-MAX-HD2-MBX-LTEA-RK-2Y,2-Year EssentialCare+,"for MAX HD2 MBX LTEA (CAT-12) - includes IC2, 24/7 email support, and AHR","$2,548.00"
ECP-MAX-HD2-MBX-LTEA-RK-4Y,4-Year EssentialCare+,"for MAX HD2 MBX LTEA (CAT-12) - includes IC2, 24/7 email support, and AHR","$4,197.00"
ECP-MAX-HD2-MBX-GLTE-G-1Y,1-Year EssentialCare+,"for MAX HD2 MBX LTEA (CAT 18) - includes IC2, 24/7 email support, and AHR","$1,749.00"
ECP-MAX-HD2-MBX-GLTE-G-2Y,2-Year EssentialCare+,"for MAX HD2 MBX LTEA (CAT 18) - includes IC2, 24/7 email support, and AHR","$2,973.00"
ECP-MAX-HD2-MBX-GLTE-G-4Y,4-Year EssentialCare+,"for MAX HD2 MBX LTEA (CAT 18) - includes IC2, 24/7 email support, and AHR","$4,897.00"
SVL-721,1-Year EssentialCare,for MAX HD2 MBX LTEA (CAT 18) - includes IC2 subscription,"$1,190.00"
SVL-710,2-Year EssentialCare,for MAX HD2 MBX LTEA (CAT 18) - includes IC2 subscription,"$2,310.00"
SVL-MAX-HD2-MBX-5G-1Y,1-Year EssentialCare,for MAX HD2 MBX LTEA (5G) - includes IC2 subscription,"$1,699.00"
SVL-MAX-HD2-MBX-5G-2Y,2-Year EssentialCare,for MAX HD2 MBX LTEA (5G) - includes IC2 subscription,"$3,299.00"
ECP-MAX-HD2-MBX-5G-1Y,1-Year EssentialCare+,"for MAX HD2 MBX LTEA (5G) - includes IC2, 24/7 email ticket support, and AHR","$1,819.00"
ECP-MAX-HD2-MBX-5G-2Y,2-Year EssentialCare+,"for MAX HD2 MBX LTEA (5G) - includes IC2, 24/7 email ticket support, and AHR","$3,092.00"
ECP-MAX-HD2-MBX-5G-4Y,4-Year EssentialCare+,"for MAX HD2 MBX LTEA (5G) - includes IC2, 24/7 email ticket support, and AHR","$5,093.00"
MAX-HD-020-SPF,20 Peer SF License,Up to 20 SpeedFusion Peers,$999.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,1x Virtual WAN Activation License,For MAX HD2 Mini LTE,$200.00
LIC-2VWAN,2x Virtual WAN Activation License,For MAX HD2 Mini LTE,$400.00
LIC-3VWAN,3x Virtual WAN Activation License,For MAX HD2 Mini LTE,$600.00
LIC-10VWAN-MD,Virtual WAN Activation License,Activate 10 x Virtual WAN for Selected Models. ,"$2,336.00 "
<Peplink HD2-MBX Licenses & Warranties (click the + to open),,,
MAX-HD4-MBX-LTEA-R-T ,MAX HD4 MBX (FirstNet Certified),Quad 4G LTE-A Pro Mobile Powerhouse (FirstNet Certified),"$7,999.00"
MAX-HD4-MBX-GLTE-S-T ,MAX HD4 MBX CAT 20,4x CAT20 Modems,"$9,999.00"
MAX-HD4-MBX-LTEA-K-T ,MAX HD4 MBX LTEA,Quad 4G LTE-A Pro Mobile Powerhouse ,"$7,999.00"
MAX-HD4-MBX-5GN-T,MAX HD4 MBX 5G,4x 5G Modems (Global),"$11,999.00"
MAX-HD4-MBX-5GK-T,MAX HD4 MBX 5G,4x 5G Modems (North America),"$11,999.00"
ECP-MAX-HD4-MBX-LTEA-1Y,1-Year EssentialCare+,"For MAX HD4 MBX LTEA - includes IC2, 24/7 email ticket support, and AHR","$1,999.00"
ECP-MAX-HD4-MBX-LTEA-2Y,2-Year EssentialCare+,"For MAX HD4 MBX LTEA - includes IC2, 24/7 email ticket support, and AHR","$3,398.00"
ECP-MAX-HD4-MBX-LTEA-4Y,4-Year EssentialCare+,"For MAX HD4 MBX LTEA - includes IC2, 24/7 email ticket support, and AHR","$5,597.00"
SVL-497,1-Year EssentialCare,For MAX HD4 MBX LTEA - includes IC2 subscription,"$1,359.00"
SVL-549,2-Year EssentialCare,For MAX HD4 MBX LTEA - includes IC2 subscription,"$2,639.00"
ECP-MAX-HD4-MBX-GLTE-G-1Y,1-Year EssentialCare+,"For MAX HD4 MBX LTEA (CAT 20) - includes IC2, 24/7 email support, and AHR","$2,499.00"
ECP-MAX-HD4-MBX-GLTE-G-2Y,2-Year EssentialCare+,"For MAX HD4 MBX LTEA (CAT 20) - includes IC2, 24/7 email support, and AHR","$4,248.00"
ECP-MAX-HD4-MBX-GLTE-G-4Y,4-Year EssentialCare+,"For MAX HD4 MBX LTEA (CAT 20) - includes IC2, 24/7 email support, and AHR","$6,997.00"
SVL-510 ,1-Year EssentialCare,For MAX HD4 MBX LTEA (CAT 20) - includes IC2 subscription,"$1,699.00"
SVL-708 ,2-Year EssentialCare,For MAX HD4 MBX LTEA (CAT 20) - includes IC2 subscription,"$3,299.00"
SVL-MAX-HD4-MBX-5G-1Y,1-Year EssentialCare,For MAX HD4 MBX 5G - includes IC2 subscription,"$2,279.00"
SVL-MAX-HD4-MBX-5G-2Y,2-Year EssentialCare,For MAX HD4 MBX 5G - includes IC2 subscription,"$4,199.00"
ECP-MAX-HD4-MBX-5G-1Y,1-Year EssentialCare+,"For MAX HD4 MBX 5G - includes IC2, 24/7 email ticket support, and AHR","$2,999.00"
ECP-MAX-HD4-MBX-5G-2Y,2-Year EssentialCare+,"For MAX HD4 MBX 5G - includes IC2, 24/7 email ticket support, and AHR","$5,098.00"
ECP-MAX-HD4-MBX-5G-4Y,4-Year EssentialCare+,"For MAX HD4 MBX 5G - includes IC2, 24/7 email ticket support, and AHR","$8,397.00"
MAX-HD-020-SPF,20 Peer SF License,Up to 20 SpeedFusion Peers,$999.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,1x Virtual WAN Activation License,For MAX HD2 Mini LTE,$200.00
LIC-2VWAN,2x Virtual WAN Activation License,For MAX HD2 Mini LTE,$400.00
LIC-3VWAN,3x Virtual WAN Activation License,For MAX HD2 Mini LTE,$600.00
LIC-10VWAN-MD,Virtual WAN Activation License,Activate 10 x Virtual WAN for Selected Models. ,"$2,336.00 "
<Peplink HD4 MBX Licenses & Warranties (click the + to open),,,
MAX-MBX-MINI-5GH-T,MAX MBX Mini,2x Embedded 5G Modem (Americas),"$6,999.00"
MAX-MBX-MINI-5GD-T,MAX MBX Mini,2x Embedded 5G Modem (Global),"$6,999.00"
SVL-MAX-MBX-MINI-5G-1Y,1-Year EssentialCare,For MBX Mini - includes IC2 subscription,"$1,189.00"
SVL-MAX-MBX-MINI-5G-2Y,2-Year EssentialCare,For MBX Mini - includes IC2 subscription,"$2,309.00"
ECP-MAX-MBX-MINI-5G-1Y,1-Year EssentialCare+,"For MBX Mini - includes IC2 subscription, 24/7 email ticket support, and AHR","$1,749.00"
ECP-MAX-MBX-MINI-5G-2Y,2-Year EssentialCare+,"For MBX Mini - includes IC2 subscription, 24/7 email ticket support, and AHR","$2,973.00"
ECP-MAX-MBX-MINI-5G-4Y,4-Year EssentialCare+,"For MBX Mini - includes IC2 subscription, 24/7 email ticket support, and AHR","$4,897.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,1x Virtual WAN Activation License,For MAX HD2 Mini LTE,$200.00
LIC-2VWAN,2x Virtual WAN Activation License,For MAX HD2 Mini LTE,$400.00
LIC-3VWAN,3x Virtual WAN Activation License,For MAX HD2 Mini LTE,$600.00
LIC-10VWAN-MD,Virtual WAN Activation License,Activate 10 x Virtual WAN for Selected Models. ,"$2,336.00 "
PVN-LC-05,SpeedFusion Peers License Key,Up to 5 PepVPN,$99.00
PVN-LC-10,SpeedFusion Peers License Key,Up to 10 PepVPN,$199.00
PVN-LC-20,SpeedFusion Peers License Key,Up to 20 PepVPN,$999.00
<Peplink HD4 MBX Licenses & Warranties (click the + to open),,,
Peplink MAX HD MBX Expansion Modules,,,
EXM-MBX-T2-5GH,HD2 MBX 5G Expansion Module,2x 5G modems Compatible with HD2 MBX  ,"$2,999.00"
EXM-MBX-T4-5GH,HD4 MBX 5G Expansion Module,4x 5G modems Compatible with HD4 MBX ,"$4,999.00"
EXM-MBX-T4-5GN,HD4 MBX 5G Expansion Module,4x 5G modems Compatible with HD4 MBX ,"$4,999.00"
SVL-EXM-MBX-T2-5G-1Y,1-Year EssentialCare,For MBX Expansion Module with 2x 5G Modems - includes IC2 subscription,$569.00
SVL-EXM-MBX-T2-5G-2Y,2-Year EssentialCare,For MBX Expansion Module with 2x 5G Modems - includes IC2 subscription,"$1,049.00"
SVL-EXM-MBX-T4-5G-1Y,1-Year EssentialCare,For MBX Expansion Module with 4x 5G Modems - includes IC2 subscription,$949.00
SVL-EXM-MBX-T4-5G-2Y,2-Year EssentialCare,For MBX Expansion Module with 4x 5G Modems - includes IC2 subscription,"$1,749.00"
ECP-EXM-MBX-T2-5G-1Y,1-Year EssentialCare+,"For MBX Expansion Module w/ 2x 5G Modems - incl. IC2, 24/7 email support, AHR",$719.00
ECP-EXM-MBX-T2-5G-2Y,2-Year EssentialCare+,"For MBX Expansion Module w/ 2x 5G Modems - incl. IC2, 24/7 email support, AHR","$1,222.00"
ECP-EXM-MBX-T2-5G-4Y,4-Year EssentialCare+,"For MBX Expansion Module w/ 2x 5G Modems - incl. IC2, 24/7 email support, AHR","$2,013.00"
ECP-EXM-MBX-T4-5G-1Y,1-Year EssentialCare+,"For MBX Expansion Module w/ 4x 5G Modems - incl. IC2, 24/7 email support, AHR","$1,199.00"
ECP-EXM-MBX-T4-5G-2Y,2-Year EssentialCare+,"For MBX Expansion Module w/ 4x 5G Modems - incl. IC2, 24/7 email support, AHR","$2,038.00"
ECP-EXM-MBX-T4-5G-4Y,4-Year EssentialCare+,"For MBX Expansion Module w/ 4x 5G Modems - incl. IC2, 24/7 email support, AHR","$3,357.00"
<MBX Module Licenses & Warranties (click the + to open),,,
Peplink Specialty Products,,,
POTS-ADP-LTE-US-T-PRM,POTS Adapter,"1x 4G LTE Modem (US/ CAT-4), RJ11 Ports For POTS equipment, Full antenna set",$299.00
PRM-A-1Y,1-Year PrimeCare,For POTS Adapter - includes IC2 subscription,$49.00
PRM-A-2Y,2-Year PrimeCare,For POTS Adapter - includes IC2 subscription,$98.00
PRM-A-4Y,4-Year PrimeCare,For POTS Adapter - includes IC2 subscription,$196.00
PCP-A-1Y,1-Year PrimeCare+,"For POTS Adapter - includes IC2 subscription, 24/7 email ticket support, and AHR",$59.00
PCP-A-2Y,2-Year PrimeCare+,"For POTS Adapter - includes IC2 subscription, 24/7 email ticket support, and AHR",$100.00
PCP-A-4Y,4-Year PrimeCare+,"For POTS Adapter - includes IC2 subscription, 24/7 email ticket support, and AHR",$165.00
<POTS Adapter Licenses & Warranties (click the + to open),,,
PDX-5GH-T, PDX 5G,Ruggedized Portable One-Device Cellular Connectivity with 2x 5G Modems,"$14,999.00"
PDX-LTEA-R-T, PDX LTEA,Ruggedized Portable One-Device Cellular Connectivity with 4x LTEA Modems,"$14,999.00"
SVL-499,1-Year EssentialCare,For PDX - includes IC2 subscription,"$2,549.00"
SVL-554,2-Year EssentialCare,For PDX - includes IC2 subscription,"$4,949.00"
ECP-PDX-1Y,1-Year EssentialCare+,"For PDX - includes IC2 subscription, 24/7 email ticket support, and AHR","$3,749.00"
ECP-PDX-2Y,2-Year EssentialCare+,"For PDX - includes IC2 subscription, 24/7 email ticket support, and AHR","$6,373.00"
